iso3c,variant,common_string,regex
ABW,阿鲁巴,阿鲁巴,阿鲁巴
AFG,阿富汗,阿富汗,阿富汗
AGO,安哥拉,安哥拉,安哥拉
AGO,安哥拉共和国,安哥拉,安哥拉
AIA,安圭拉,安,
AIA,安吉拉,安,
ALA,奥兰,,
ALA,阿赫韦南马,,
ALB,阿尔巴尼亚,阿尔巴尼亚,阿尔巴尼亚
ALB,阿尔巴尼亚共和国,阿尔巴尼亚,阿尔巴尼亚
AND,安道尔,安道尔,安道尔
AND,安道尔公国,安道尔,安道尔
AND,安道尔侯国,安道尔,安道尔
ARE,阿拉伯联合酋长国,阿,阿联|阿拉伯联合
ARE,阿联酋,阿,阿联|阿拉伯联合
ARE,阿拉伯联合大公国,阿,阿联|阿拉伯联合
ARE,阿联,阿,阿联|阿拉伯联合
ARG,阿根廷,阿根廷,阿根廷
ARG,阿根廷共和国,阿根廷,阿根廷
ARM,亚美尼亚,亚美尼亚,亚美尼亚
ARM,亚美尼亚共和国,亚美尼亚,亚美尼亚
ASM,美属萨摩亚,萨摩亚,
ASM,东萨摩亚,萨摩亚,
ATA,南极洲,南极洲,南极洲
ATF,法属南部和南极领地,法属南部,
ATF,法属南部领地,法属南部,
ATG,安提瓜和巴布达,安,"安(地卡|提瓜).{0,2}巴布达|安巴"
ATG,安巴,安,"安(地卡|提瓜).{0,2}巴布达|安巴"
ATG,安地卡及巴布达,安,"安(地卡|提瓜).{0,2}巴布达|安巴"
AUS,澳大利亚,澳,澳(大利亚|洲)
AUS,澳大利亚联邦,澳,澳(大利亚|洲)
AUS,澳洲,澳,澳(大利亚|洲)
AUT,奥地利,奥地利,奥地利
AUT,奥地利共和国,奥地利,奥地利
AZE,阿塞拜疆,塞拜,(亚|阿)塞拜(然|疆)
AZE,阿塞拜疆共和国,塞拜,(亚|阿)塞拜(然|疆)
AZE,亚塞拜然,塞拜,(亚|阿)塞拜(然|疆)
AZE,亚塞拜然共和国,塞拜,(亚|阿)塞拜(然|疆)
BDI,布隆迪,隆,蒲隆地|布隆迪
BDI,布隆迪共和国,隆,蒲隆地|布隆迪
BDI,蒲隆地,隆,蒲隆地|布隆迪
BDI,蒲隆地共和国,隆,蒲隆地|布隆迪
BEL,比利时,比利时,比利时
BEL,比利时王国,比利时,比利时
BEN,贝宁,,贝(南|宁)|达荷美
BEN,贝宁共和国,,贝(南|宁)|达荷美
BEN,达荷美,,贝(南|宁)|达荷美
BEN,贝南,,贝(南|宁)|达荷美
BEN,贝南共和国,,贝(南|宁)|达荷美
BES,荷兰加勒比区,,
BES,荷属加勒比,,
BES,群岛,,
BFA,布基纳法索,纳法索,布(吉|基)纳法索
BFA,布吉纳法索,纳法索,布(吉|基)纳法索
BGD,孟加拉国,孟加拉,孟加拉
BGD,孟加拉人民共和国,孟加拉,孟加拉
BGD,孟加拉,孟加拉,孟加拉
BGR,保加利亚,保加利亚,保加利亚
BGR,保加利亚共和国,保加利亚,保加利亚
BHR,巴林,巴林,巴林
BHR,巴林王国,巴林,巴林
BHS,巴哈马,巴哈马,巴哈马
BHS,巴哈马国,巴哈马,巴哈马
BIH,波斯尼亚和黑塞哥维那,波,波(黑|赫)|波(士|斯)尼亚
BIH,波黑,波,波(黑|赫)|波(士|斯)尼亚
BIH,波斯尼亚,波,波(黑|赫)|波(士|斯)尼亚
BIH,波士尼亚与赫塞哥维纳,波,波(黑|赫)|波(士|斯)尼亚
BIH,波赫,波,波(黑|赫)|波(士|斯)尼亚
BIH,波士尼亚,波,波(黑|赫)|波(士|斯)尼亚
BLM,圣巴泰勒米,圣巴,
BLM,圣巴泰勒米集体,圣巴,
BLM,圣巴特,圣巴,
BLM,圣巴瑟米,圣巴,
BLM,圣巴瑟米集体,圣巴,
BLR,白俄罗斯,白俄,白俄
BLR,白俄罗斯共和国,白俄,白俄
BLR,白俄,白俄,白俄
BLZ,伯利兹,,贝里斯|伯利兹
BLZ,贝里斯,,贝里斯|伯利兹
BMU,百慕大,百慕,
BMU,百慕达,百慕,
BOL,玻利维亚,玻利维亚,玻利维亚
BOL,多民族玻利维亚国,玻利维亚,玻利维亚
BOL,玻利维亚多民族国,玻利维亚,玻利维亚
BRA,巴西,巴西,巴西
BRA,巴西联邦共和国,巴西,巴西
BRB,巴巴多斯,巴,巴(贝|巴)多
BRB,巴贝多,巴,巴(贝|巴)多
BRN,文莱,莱,(汶|文)莱
BRN,文莱达鲁萨兰国,莱,(汶|文)莱
BRN,文莱和平之国,莱,(汶|文)莱
BRN,汶莱,莱,(汶|文)莱
BRN,汶莱达鲁萨兰国,莱,(汶|文)莱
BRN,汶莱和平之国,莱,(汶|文)莱
BTN,不丹,,不丹
BTN,不丹王国,,不丹
BTN,布鲁克巴,,不丹
BVT,布韦岛,岛,
BVT,鲍威特岛,岛,
BVT,布威岛,岛,
BWA,博茨瓦纳,,波札那|博茨瓦纳
BWA,博茨瓦纳共和国,,波札那|博茨瓦纳
BWA,波札那,,波札那|博茨瓦纳
BWA,波札那共和国,,波札那|博茨瓦纳
CAF,中非共和国,中非,中非
CAF,中非,中非,中非
CAN,加拿大,加拿大,加拿大
CCK,科科斯（基林）群岛,科科斯（基林）群岛,科科斯（基林）群岛
CHE,瑞士,瑞士,瑞士
CHE,瑞士联邦,瑞士,瑞士
CHL,智利,智利,智利
CHL,智利共和国,智利,智利
CHN,中华人民共和国,中,中国|中华人民共和国
CHN,中国,中,中国|中华人民共和国
