iso3c,regex
ABW,阿鲁巴
AFG,阿富汗
AGO,安哥拉
AIA,安(圭|吉)拉
ALA,奥兰|阿赫韦南马
ALB,阿尔巴尼亚
AND,安道尔
ARE,阿联|阿拉伯联合
ARG,阿根廷
ARM,亚美尼亚
ASM,(美属?|东)萨摩亚
ATA,南极洲
ATF,法属南部(和南极)?领地
ATG,安(地卡|提瓜)[和及与]?巴布达|安巴
AUS,澳(大利亚|洲)
AUT,奥地利
AZE,(亚|阿)塞拜(然|疆)
BDI,蒲隆地|布隆迪
BEL,比利时
BEN,贝(南|宁)|达荷美
BES,BES群岛|荷(兰|属)加勒比
BFA,布(吉|基)纳法索
BGD,孟加拉
BGR,保加利亚
BHR,巴林
BHS,巴哈马
BIH,波(黑|赫)|波(士|斯)尼亚
BLM,圣巴(泰|特|瑟)
BLR,白俄
BLZ,贝里斯|伯利兹
BMU,百慕(大|达)
BOL,玻利维亚
BRA,巴西
BRB,巴(贝|巴)多
BRN,(汶|文)莱
BTN,不丹
BVT,(布|鲍)(韦|威)特?岛
BWA,波札那|博茨瓦纳
CAF,中非
CAN,加拿大
CCK,科科斯（基林）群岛
CHE,瑞士
CHL,智利
CHN,中国|中华人民共和国
CIV,象牙海岸|科特迪瓦
CMR,喀麦隆
COD,刚果民主共和国|民主刚果|金(沙萨|夏沙).*刚果|刚果.*金(沙萨|夏沙)|刚果.金
COG,刚果共和国|布拉(萨|柴维尔).*刚果|刚果.*布拉(萨|柴维尔)|刚果.布
COK,库克群岛
COL,哥伦比亚
COM,(葛|科)摩
CPV,(维德|佛得)角
CRI,哥斯(大|达)黎加
CUB,古巴
CUW,(库|古)拉索
CXR,圣诞岛
CYM,(开|盖)(曼|门)群岛
CYP,(?<!北)(赛|塞)(普勒|浦路)斯
CZE,捷克(?!斯洛伐克)
DEU,德国|德意志联邦共和国
DJI,吉布(地|提)
DMA,多米尼克
DNK,丹麦
DOM,多(明|米)尼加
DZA,阿尔及利亚
ECU,厄瓜多
EGY,埃及
ERI,厄(利垂|立特里)亚
ESH,西撒哈拉|撒哈?拉.*民主共和国
