iso3c,language,short_name,full_name,variant_1,variant_2,variant_3,variant_4
ABW,zh_cn,阿鲁巴,阿鲁巴,NA,NA,NA,NA
ABW,zh_hk,阿魯巴,阿魯巴,NA,NA,NA,NA
ABW,zh_mo,阿魯巴,阿魯巴,NA,NA,NA,NA
ABW,zh_my,阿鲁巴,阿鲁巴,NA,NA,NA,NA
ABW,zh_sg,阿鲁巴,阿鲁巴,NA,NA,NA,NA
ABW,zh_tw,阿魯巴,阿魯巴,NA,NA,NA,NA
AFG,zh_cn,阿富汗,阿富汗,NA,NA,NA,NA
AFG,zh_hk,阿富汗,阿富汗,NA,NA,NA,NA
AFG,zh_mo,阿富汗,阿富汗,NA,NA,NA,NA
AFG,zh_my,阿富汗,阿富汗,NA,NA,NA,NA
AFG,zh_sg,阿富汗,阿富汗,NA,NA,NA,NA
AFG,zh_tw,阿富汗,阿富汗,NA,NA,NA,NA
AGO,zh_cn,安哥拉,安哥拉共和国,NA,NA,NA,NA
AGO,zh_hk,安哥拉,安哥拉共和國,NA,NA,NA,NA
AGO,zh_mo,安哥拉,安哥拉共和國,NA,NA,NA,NA
AGO,zh_my,安哥拉,安哥拉共和国,NA,NA,NA,NA
AGO,zh_sg,安哥拉,安哥拉共和国,NA,NA,NA,NA
AGO,zh_tw,安哥拉,安哥拉共和國,NA,NA,NA,NA
AIA,zh_cn,安圭拉,安圭拉,NA,NA,NA,NA
AIA,zh_hk,安圭拉,安圭拉,NA,NA,NA,NA
AIA,zh_mo,安圭拉,安圭拉,NA,NA,NA,NA
AIA,zh_my,安圭拉,安圭拉,NA,NA,NA,NA
AIA,zh_sg,安圭拉,安圭拉,NA,NA,NA,NA
AIA,zh_tw,安吉拉,安吉拉,NA,NA,NA,NA
ALA,zh_cn,奥兰,奥兰,阿赫韦南马,NA,NA,NA
ALA,zh_hk,奧蘭,奧蘭,阿赫韋南馬,NA,NA,NA
ALA,zh_mo,奧蘭,奧蘭,阿赫韋南馬,NA,NA,NA
ALA,zh_my,奥兰,奥兰,阿赫韦南马,NA,NA,NA
ALA,zh_sg,奥兰,奥兰,阿赫韦南马,NA,NA,NA
ALA,zh_tw,奧蘭,奧蘭,阿赫韋南馬,NA,NA,NA
ALB,zh_cn,阿尔巴尼亚,阿尔巴尼亚共和国,NA,NA,NA,NA
ALB,zh_hk,阿爾巴尼亞,阿爾巴尼亞共和國,NA,NA,NA,NA
ALB,zh_mo,阿爾巴尼亞,阿爾巴尼亞共和國,NA,NA,NA,NA
ALB,zh_my,阿尔巴尼亚,阿尔巴尼亚共和国,NA,NA,NA,NA
ALB,zh_sg,阿尔巴尼亚,阿尔巴尼亚共和国,NA,NA,NA,NA
ALB,zh_tw,阿爾巴尼亞,阿爾巴尼亞共和國,NA,NA,NA,NA
AND,zh_cn,安道尔,安道尔公国,NA,NA,NA,NA
AND,zh_hk,安道爾,安道爾公國,NA,NA,NA,NA
AND,zh_mo,安道爾,安道爾公國,NA,NA,NA,NA
AND,zh_my,安道尔,安道尔公国,NA,NA,NA,NA
AND,zh_sg,安道尔,安道尔公国,NA,NA,NA,NA
AND,zh_tw,安道爾,安道爾侯國,NA,NA,NA,NA
ARE,zh_cn,阿拉伯联合酋长国,阿拉伯联合酋长国,阿联酋,NA,NA,NA
ARE,zh_hk,阿拉伯聯合酋長國,阿拉伯聯合酋長國,阿聯酋,NA,NA,NA
ARE,zh_mo,阿拉伯聯合酋長國,阿拉伯聯合酋長國,阿聯酋,NA,NA,NA
ARE,zh_my,阿拉伯联合酋长国,阿拉伯联合酋长国,阿联酋,NA,NA,NA
ARE,zh_sg,阿拉伯联合酋长国,阿拉伯联合酋长国,阿联酋,NA,NA,NA
ARE,zh_tw,阿拉伯聯合大公國,阿拉伯聯合大公國,阿聯,NA,NA,NA
ARG,zh_cn,阿根廷,阿根廷共和国,NA,NA,NA,NA
ARG,zh_hk,阿根廷,阿根廷共和國,NA,NA,NA,NA
ARG,zh_mo,阿根廷,阿根廷共和國,NA,NA,NA,NA
ARG,zh_my,阿根廷,阿根廷共和国,NA,NA,NA,NA
ARG,zh_sg,阿根廷,阿根廷共和国,NA,NA,NA,NA
ARG,zh_tw,阿根廷,阿根廷共和國,NA,NA,NA,NA
ARM,zh_cn,亚美尼亚,亚美尼亚共和国,NA,NA,NA,NA
ARM,zh_hk,亞美尼亞,亞美尼亞共和國,NA,NA,NA,NA
ARM,zh_mo,亞美尼亞,亞美尼亞共和國,NA,NA,NA,NA
ARM,zh_my,亚美尼亚,亚美尼亚共和国,NA,NA,NA,NA
ARM,zh_sg,亚美尼亚,亚美尼亚共和国,NA,NA,NA,NA
