short_name_en,variant,common_string,regex
Abkhazia,阿布哈兹,阿,
Abkhazia,阿布哈兹共和国,阿,
Abkhazia,阿柏克兹亚,阿,
Afghanistan,阿富汗,阿富汗,阿富汗
Albania,阿尔巴尼亚,阿尔巴尼亚,阿尔巴尼亚
Albania,阿尔巴尼亚共和国,阿尔巴尼亚,阿尔巴尼亚
Algeria,阿尔及利亚,阿尔及利亚,阿尔及利亚
Algeria,阿尔及利亚民主人民共和国,阿尔及利亚,阿尔及利亚
Andorra,安道尔,安道尔,安道尔
Andorra,安道尔公国,安道尔,安道尔
Andorra,安道尔侯国,安道尔,安道尔
Angola,安哥拉,安哥拉,安哥拉
Angola,安哥拉共和国,安哥拉,安哥拉
Antigua and Barbuda,安提瓜和巴布达,安,
Antigua and Barbuda,安巴,安,
Antigua and Barbuda,安地卡及巴布达,安,
Argentina,阿根廷,阿根廷,阿根廷
Argentina,阿根廷共和国,阿根廷,阿根廷
Armenia,亚美尼亚,亚美尼亚,亚美尼亚
Armenia,亚美尼亚共和国,亚美尼亚,亚美尼亚
Artsakh,阿尔察赫共和国,阿尔察赫共和国,阿尔察赫共和国
Australia,澳大利亚,澳,
Australia,澳大利亚联邦,澳,
Australia,澳洲,澳,
Austria,奥地利,奥地利,奥地利
Austria,奥地利共和国,奥地利,奥地利
Azerbaijan,阿塞拜疆,塞拜,
Azerbaijan,阿塞拜疆共和国,塞拜,
Azerbaijan,亚塞拜然,塞拜,
Azerbaijan,亚塞拜然共和国,塞拜,
Bahamas,巴哈马,巴哈马,巴哈马
Bahamas,巴哈马国,巴哈马,巴哈马
Bahrain,巴林,巴林,巴林
Bahrain,巴林王国,巴林,巴林
Bangladesh,孟加拉国,孟加拉,孟加拉
Bangladesh,孟加拉人民共和国,孟加拉,孟加拉
Bangladesh,孟加拉,孟加拉,孟加拉
Barbados,巴巴多斯,巴,
Barbados,巴贝多,巴,
Belarus,白俄罗斯,白俄,白俄
Belarus,白俄罗斯共和国,白俄,白俄
Belarus,白俄,白俄,白俄
Belgium,比利时,比利时,比利时
Belgium,比利时王国,比利时,比利时
Belize,伯利兹,,
Belize,贝里斯,,
Benin,贝宁,,
Benin,贝宁共和国,,
Benin,达荷美,,
Benin,贝南,,
Benin,贝南共和国,,
Bhutan,不丹,,
Bhutan,不丹王国,,
Bhutan,布鲁克巴,,
Bolivia,玻利维亚,玻利维亚,玻利维亚
Bolivia,多民族玻利维亚国,玻利维亚,玻利维亚
Bolivia,玻利维亚多民族国,玻利维亚,玻利维亚
Bosnia and Herzegovina,波斯尼亚和黑塞哥维那,波,
Bosnia and Herzegovina,波黑,波,
Bosnia and Herzegovina,波斯尼亚,波,
Bosnia and Herzegovina,波士尼亚与赫塞哥维纳,波,
Bosnia and Herzegovina,波赫,波,
Bosnia and Herzegovina,波士尼亚,波,
Botswana,博茨瓦纳,,
Botswana,博茨瓦纳共和国,,
Botswana,波札那,,
Botswana,波札那共和国,,
Brazil,巴西,巴西,巴西
Brazil,巴西联邦共和国,巴西,巴西
Brunei,文莱,莱,
Brunei,文莱达鲁萨兰国,莱,
Brunei,文莱和平之国,莱,
Brunei,汶莱,莱,
Brunei,汶莱达鲁萨兰国,莱,
Brunei,汶莱和平之国,莱,
Bulgaria,保加利亚,保加利亚,保加利亚
Bulgaria,保加利亚共和国,保加利亚,保加利亚
Burkina Faso,布基纳法索,纳法索,
Burkina Faso,布吉纳法索,纳法索,
Burundi,布隆迪,隆,
Burundi,布隆迪共和国,隆,
Burundi,蒲隆地,隆,
Burundi,蒲隆地共和国,隆,
Cabo Verde,佛得角,角,
Cabo Verde,佛得角共和国,角,
Cabo Verde,维德角,角,
Cabo Verde,维德角共和国,角,
Cambodia,柬埔寨,柬埔寨,柬埔寨
Cambodia,柬埔寨王国,柬埔寨,柬埔寨
Cameroon,喀麦隆,喀麦隆,喀麦隆
Cameroon,喀麦隆共和国,喀麦隆,喀麦隆
Canada,加拿大,加拿大,加拿大
Central African Republic,中非共和国,中非,中非
Central African Republic,中非,中非,中非
Chad,乍得,,
Chad,乍得共和国,,
Chad,查德,,
Chad,查德共和国,,
Chile,智利,智利,智利
Chile,智利共和国,智利,智利
China,中华人民共和国,中,
China,中国,中,
Colombia,哥伦比亚,哥伦比亚,哥伦比亚
Colombia,哥伦比亚共和国,哥伦比亚,哥伦比亚
Comoros,科摩罗,摩,
Comoros,科摩罗联盟,摩,
Comoros,葛摩联盟,摩,
Comoros,葛摩,摩,
Congo (Brazzaville),刚果共和国,刚果,刚果
Congo (Brazzaville),刚果,刚果,刚果
Congo (Brazzaville),布拉柴维尔刚果,刚果,刚果
Congo (Brazzaville),刚果（布）,刚果,刚果
Congo (Brazzaville),布拉萨市刚果,刚果,刚果
Congo (Brazzaville),刚果（布拉萨市）,刚果,刚果
Congo (Kinshasa),刚果民主共和国,刚果,
Congo (Kinshasa),民主刚果,刚果,
Congo (Kinshasa),刚果（金）,刚果,
Cook Islands,库克群岛,库克群岛,库克群岛
Costa Rica,哥斯达黎加,哥斯,
Costa Rica,哥斯达黎加共和国,哥斯,
Costa Rica,哥斯大黎加,哥斯,
Costa Rica,哥斯大黎加共和国,哥斯,
Côte d'Ivoire,科特迪瓦,,
Côte d'Ivoire,科特迪瓦共和国,,
Côte d'Ivoire,象牙海岸,,
Côte d'Ivoire,象牙海岸共和国,,
Croatia,克罗地亚,克罗,
Croatia,克罗地亚共和国,克罗,
Croatia,克罗埃西亚,克罗,
Croatia,克罗埃西亚共和国,克罗,
Cuba,古巴,古巴,古巴
Cuba,古巴共和国,古巴,古巴
Cyprus,塞浦路斯,斯,
Cyprus,塞浦路斯共和国,斯,
Cyprus,赛普勒斯,斯,
Cyprus,赛普勒斯共和国,斯,
Czechia,捷克,捷克,捷克
Czechia,捷克共和国,捷克,捷克
Denmark,丹麦,丹麦,丹麦
Djibouti,吉布提,吉布,
Djibouti,吉布提共和国,吉布,
Djibouti,吉布地,吉布,
Djibouti,吉布地共和国,吉布,
Dominica,多米尼克,多米尼克,多米尼克
Dominica,多米尼克国,多米尼克,多米尼克
Dominican Republic,多米尼加,尼加,
Dominican Republic,多米尼加共和国,尼加,
Dominican Republic,多明尼加,尼加,
Donetsk,顿涅茨克人民共和国,克人民共和国,
Donetsk,顿内次克人民共和国,克人民共和国,
Ecuador,厄瓜多尔,厄瓜多,厄瓜多
Ecuador,厄瓜多尔共和国,厄瓜多,厄瓜多
Ecuador,厄瓜多,厄瓜多,厄瓜多
Ecuador,厄瓜多共和国,厄瓜多,厄瓜多
Egypt,埃及,埃及,埃及
Egypt,阿拉伯埃及共和国,埃及,埃及
Egypt,埃及阿拉伯共和国,埃及,埃及
El Salvador,萨尔瓦多,萨尔瓦多,萨尔瓦多
El Salvador,萨尔瓦多共和国,萨尔瓦多,萨尔瓦多
Equatorial Guinea,赤道几内亚,赤,
Equatorial Guinea,赤道几内亚共和国,赤,
Equatorial Guinea,赤几,赤,
Equatorial Guinea,赤道畿内亚,赤,
Equatorial Guinea,赤道畿内亚共和国,赤,
Equatorial Guinea,赤畿,赤,
Eritrea,厄立特里亚,厄,
Eritrea,厄立特里亚国,厄,
Eritrea,厄利垂亚,厄,
Eritrea,厄利垂亚国,厄,
Estonia,爱沙尼亚,爱沙尼亚,爱沙尼亚
Estonia,爱沙尼亚共和国,爱沙尼亚,爱沙尼亚
Eswatini,斯威士兰,,
Eswatini,斯威士兰王国,,
Eswatini,史瓦帝尼,,
