iso3c,name,url
ABW,阿鲁巴,%E9%98%BF%E9%AD%AF%E5%B7%B4
AFG,阿富汗,%E9%98%BF%E5%AF%8C%E6%B1%97
AGO,安哥拉,%E5%AE%89%E5%93%A5%E6%8B%89
AIA,安圭拉,%E5%AE%89%E5%9C%AD%E6%8B%89
ALA,奥兰,%E5%A5%A5%E5%85%B0
ALB,阿尔巴尼亚,%E9%98%BF%E5%B0%94%E5%B7%B4%E5%B0%BC%E4%BA%9A
AND,安道尔,%E5%AE%89%E9%81%93%E5%B0%94
ARE,阿联酋,%E9%98%BF%E6%8B%89%E4%BC%AF%E8%81%94%E5%90%88%E9%85%8B%E9%95%BF%E5%9B%BD
ARG,阿根廷,%E9%98%BF%E6%A0%B9%E5%BB%B7
ARM,亚美尼亚,%E4%BA%9E%E7%BE%8E%E5%B0%BC%E4%BA%9E
ASM,美属萨摩亚,%E7%BE%8E%E5%B1%AC%E8%96%A9%E6%91%A9%E4%BA%9E
ATA,南极洲,%E5%8D%97%E6%9E%81%E6%B4%B2
ATF,法属南部和南极领地,%E6%B3%95%E5%B1%9E%E5%8D%97%E9%83%A8%E5%92%8C%E5%8D%97%E6%9E%81%E9%A2%86%E5%9C%B0
ATG,安提瓜和巴布达,%E5%AE%89%E6%8F%90%E7%93%9C%E5%92%8C%E5%B7%B4%E5%B8%83%E8%BE%BE
AUS,澳大利亚,%E6%BE%B3%E5%A4%A7%E5%88%A9%E4%BA%9A
AUT,奥地利,%E5%A5%A5%E5%9C%B0%E5%88%A9
AZE,阿塞拜疆,%E9%98%BF%E5%A1%9E%E6%8B%9C%E7%96%86
BDI,布隆迪,%E8%92%B2%E9%9A%86%E5%9C%B0
BEL,比利时,%E6%AF%94%E5%88%A9%E6%97%B6
BEN,贝宁,%E8%B4%9D%E5%AE%81
BES,荷兰加勒比区,%E8%8D%B7%E5%85%B0%E5%8A%A0%E5%8B%92%E6%AF%94%E5%8C%BA
BFA,布基纳法索,%E5%B8%83%E5%90%89%E7%B4%8D%E6%B3%95%E7%B4%A2
BGD,孟加拉国,%E5%AD%9F%E5%8A%A0%E6%8B%89%E5%9B%BD
BGR,保加利亚,%E4%BF%9D%E5%8A%A0%E5%88%A9%E4%BA%9A
BHR,巴林,%E5%B7%B4%E6%9E%97
BHS,巴哈马,%E5%B7%B4%E5%93%88%E9%A9%AC
BIH,波黑,%E6%B3%A2%E6%96%AF%E5%B0%BC%E4%BA%9A%E5%92%8C%E9%BB%91%E5%A1%9E%E5%93%A5%E7%BB%B4%E9%82%A3
BLM,圣巴泰勒米,%E8%81%96%E5%B7%B4%E6%B3%B0%E5%8B%92%E7%B1%B3
BLR,白俄罗斯,%E7%99%BD%E4%BF%84%E7%BD%97%E6%96%AF
BLZ,伯利兹,%E4%BC%AF%E5%88%A9%E5%85%B9
BMU,百慕大,%E7%99%BE%E6%85%95%E5%A4%A7
BOL,玻利维亚,%E7%8E%BB%E5%88%A9%E7%B6%AD%E4%BA%9E
BRA,巴西,%E5%B7%B4%E8%A5%BF
BRB,巴巴多斯,%E5%B7%B4%E5%B7%B4%E5%A4%9A%E6%96%AF
BRN,文莱,%E6%B1%B6%E8%8E%B1
BTN,不丹,%E4%B8%8D%E4%B8%B9
BVT,布韦岛,%E5%B8%83%E9%9F%A6%E5%B2%9B
BWA,博茨瓦纳,%E6%B3%A2%E6%9C%AD%E9%82%A3
CAF,中非,%E4%B8%AD%E9%9D%9E%E5%85%B1%E5%92%8C%E5%9C%8B
CAN,加拿大,%E5%8A%A0%E6%8B%BF%E5%A4%A7
CCK,科科斯（基林）群岛,%E7%A7%91%E7%A7%91%E6%96%AF%EF%BC%88%E5%9F%BA%E6%9E%97%EF%BC%89%E7%BE%A4%E5%B3%B6
CHE,瑞士,%E7%91%9E%E5%A3%AB
CHL,智利,%E6%99%BA%E5%88%A9
CHN,中国,%E4%B8%AD%E5%8D%8E%E4%BA%BA%E6%B0%91%E5%85%B1%E5%92%8C%E5%9B%BD
CIV,科特迪瓦,%E7%A7%91%E7%89%B9%E8%BF%AA%E7%93%A6
CMR,喀麦隆,%E5%96%80%E9%BA%A6%E9%9A%86
COD,刚果民主共和国,%E5%88%9A%E6%9E%9C%E6%B0%91%E4%B8%BB%E5%85%B1%E5%92%8C%E5%9B%BD
COG,刚果共和国,%E5%88%9A%E6%9E%9C%E5%85%B1%E5%92%8C%E5%9B%BD
