iso3c,name
ABW,阿鲁巴
AFG,阿富汗
AGO,安哥拉
AGO,安哥拉共和国
AIA,安圭拉
AIA,安吉拉
ALA,奥兰
ALA,阿赫韦南马
ALB,阿尔巴尼亚
ALB,阿尔巴尼亚共和国
AND,安道尔
AND,安道尔公国
AND,安道尔侯国
ARE,阿拉伯联合酋长国
ARE,阿联酋
ARE,阿拉伯联合大公国
ARE,阿联
ARG,阿根廷
ARG,阿根廷共和国
ARM,亚美尼亚
ARM,亚美尼亚共和国
ASM,美属萨摩亚
ASM,东萨摩亚
ATA,南极洲
ATF,法属南部和南极领地
ATF,法属南部领地
ATG,安提瓜和巴布达
ATG,安巴
ATG,安地卡及巴布达
AUS,澳大利亚
AUS,澳大利亚联邦
AUS,澳洲
AUT,奥地利
AUT,奥地利共和国
AZE,阿塞拜疆
AZE,阿塞拜疆共和国
AZE,亚塞拜然
AZE,亚塞拜然共和国
BDI,布隆迪
BDI,布隆迪共和国
BDI,蒲隆地
BDI,蒲隆地共和国
BEL,比利时
BEL,比利时王国
BEN,贝宁
BEN,贝宁共和国
BEN,达荷美
BEN,贝南
BEN,贝南共和国
BES,荷兰加勒比区
BES,荷属加勒比
BES,BES群岛
BFA,布基纳法索
BFA,布吉纳法索
BGD,孟加拉国
BGD,孟加拉人民共和国
BGD,孟加拉
BGR,保加利亚
BGR,保加利亚共和国
BHR,巴林
BHR,巴林王国
BHS,巴哈马
BHS,巴哈马国
BIH,波斯尼亚和黑塞哥维那
BIH,波黑
BIH,波斯尼亚
BIH,波士尼亚与赫塞哥维纳
BIH,波赫
BIH,波士尼亚
BLM,圣巴泰勒米
BLM,圣巴泰勒米集体
BLM,圣巴特
BLM,圣巴瑟米
BLM,圣巴瑟米集体
BLR,白俄罗斯
BLR,白俄罗斯共和国
BLR,白俄
BLZ,伯利兹
BLZ,贝里斯
BMU,百慕大
BMU,百慕达
BOL,玻利维亚
BOL,多民族玻利维亚国
BOL,玻利维亚多民族国
BRA,巴西
BRA,巴西联邦共和国
BRB,巴巴多斯
BRB,巴贝多
BRN,文莱
