country.name.en,country.name.en.regex,iso3c,cldr.short.zh
Afghanistan,afghan,AFG,阿富汗
Åland Islands,^[å|a]land,ALA,奥兰群岛
Albania,albania,ALB,阿尔巴尼亚
Algeria,algeria,DZA,阿尔及利亚
American Samoa,^(?=.*americ).*samoa,ASM,美属萨摩亚
Andorra,andorra,AND,安道尔
Angola,angola,AGO,安哥拉
Anguilla,anguill?a,AIA,安圭拉
Antarctica,antarctica,ATA,南极洲
Antigua & Barbuda,antigua,ATG,安提瓜和巴布达
Argentina,argentin,ARG,阿根廷
Armenia,armenia,ARM,亚美尼亚
Aruba,^(?!.*bonaire).*\baruba,ABW,阿鲁巴
Australia,australia,AUS,澳大利亚
Austria,^(?!.*hungary).*austria|\baustri.*\bemp,AUT,奥地利
Austria-Hungary,austria-hungary,NA,NA
Azerbaijan,azerbaijan,AZE,阿塞拜疆
Baden,baden,NA,NA
Bahamas,bahamas,BHS,巴哈马
Bahrain,bahrain,BHR,巴林
Bangladesh,bangladesh|^(?=.*east).*paki?stan,BGD,孟加拉国
Barbados,barbados,BRB,巴巴多斯
Bavaria,bavaria,NA,NA
Belarus,belarus|byelo,BLR,白俄罗斯
Belgium,^(?!.*luxem).*belgium,BEL,比利时
Belize,belize|^(?=.*british).*honduras,BLZ,伯利兹
Benin,benin|dahome,BEN,贝宁
Bermuda,bermuda,BMU,百慕大
Bhutan,bhutan,BTN,不丹
Bolivia,bolivia,BOL,玻利维亚
Bosnia & Herzegovina,herzegovina|bosnia,BIH,波斯尼亚和黑塞哥维那
Botswana,botswana|bechuana,BWA,博茨瓦纳
Bouvet Island,bouvet,BVT,布韦岛
Brazil,brazil,BRA,巴西
British Indian Ocean Territory,british.?indian.?ocean,IOT,英属印度洋领地
British Virgin Islands,^(?=.*\bu\.?\s?k).*virgin|^(?=.*brit).*virgin|^(?=.*kingdom).*virgin,VGB,英属维尔京群岛
Brunei,brunei,BRN,文莱
Brunswick,brunswick,NA,NA
Bulgaria,bulgaria,BGR,保加利亚
